id,activation,optimizer,lr,batch_size,bn,dropout,scheduler,weight_decay,momentum,width_mult,epochs,seed,val_split,best_val_acc,best_epoch,test_acc_at_best,runtime_sec,device
C01,relu,sgd,0.1,128,True,0.0,multistep,0.0005,0.9,1.0,20,42,5000,79.18,20,82.43,3559.54,cpu
C02,relu,sgd,0.01,64,True,0.3,multistep,0.0005,0.9,1.0,20,42,5000,71.56,17,74.78,7551.02,cpu
C03,relu,nesterov,0.1,128,True,0.0,multistep,0.0005,0.9,1.0,20,42,5000,79.56,20,82.95,10242.56,cpu
C04,relu,nesterov,0.01,64,True,0.3,multistep,0.0005,0.9,1.0,20,42,5000,71.84,19,74.93,19142.95,cpu
C05,relu,adam,0.001,128,True,0.0,cosine,0.0005,0.9,1.0,20,42,5000,77.0,19,80.69,3668.74,cpu
C06,relu,adam,0.0005,64,True,0.3,cosine,0.0005,0.9,1.0,20,42,5000,73.58,19,76.87,2846.68,cpu
C07,relu,adamw,0.001,128,True,0.0,cosine,0.0005,0.9,1.0,20,42,5000,75.84,17,79.5,2616.77,cpu
C08,relu,adamw,0.0005,64,True,0.3,cosine,0.0005,0.9,1.0,20,42,5000,72.04,17,74.81,2791.95,cpu
C09,gelu,sgd,0.1,128,True,0.0,multistep,0.0005,0.9,1.0,20,42,5000,78.84,19,82.49,2688.52,cpu
C10,gelu,sgd,0.01,64,True,0.3,multistep,0.0005,0.9,1.0,20,42,5000,72.2,19,75.37,2875.93,cpu
C11,gelu,nesterov,0.1,128,True,0.0,multistep,0.0005,0.9,1.0,20,42,5000,79.84,19,82.87,2698.51,cpu
C12,gelu,nesterov,0.01,64,True,0.3,multistep,0.0005,0.9,1.0,20,42,5000,72.56,17,75.82,2878.04,cpu
C13,gelu,adam,0.001,128,True,0.0,cosine,0.0005,0.9,1.0,20,42,5000,77.1,20,80.43,2696.2,cpu
C14,gelu,adam,0.0005,64,True,0.3,cosine,0.0005,0.9,1.0,20,42,5000,73.92,20,77.54,2896.61,cpu
C15,gelu,adamw,0.001,128,True,0.0,cosine,0.0005,0.9,1.0,20,42,5000,76.34,20,80.02,2698.33,cpu
C16,gelu,adamw,0.0005,64,True,0.3,cosine,0.0005,0.9,1.0,20,42,5000,72.54,19,76.24,2953.84,cpu
C17,silu,sgd,0.1,128,True,0.0,multistep,0.0005,0.9,1.0,20,42,5000,77.04,19,80.8,2758.87,cpu
C18,silu,sgd,0.01,64,True,0.3,multistep,0.0005,0.9,1.0,20,42,5000,70.7,17,74.02,2900.44,cpu
C19,silu,nesterov,0.1,128,True,0.0,multistep,0.0005,0.9,1.0,20,42,5000,77.82,20,81.52,10483.2,cpu
C20,silu,nesterov,0.01,64,True,0.3,multistep,0.0005,0.9,1.0,20,42,5000,71.1,19,74.14,4060.5,cpu
C21,silu,adam,0.001,128,True,0.0,cosine,0.0005,0.9,1.0,20,42,5000,75.6,20,79.23,3791.38,cpu
C22,silu,adam,0.0005,64,True,0.3,cosine,0.0005,0.9,1.0,20,42,5000,72.66,19,76.11,6813.94,cpu
C23,silu,adamw,0.001,128,True,0.0,cosine,0.0005,0.9,1.0,20,42,5000,75.02,19,79.12,3347.79,cpu
C24,silu,adamw,0.0005,64,True,0.3,cosine,0.0005,0.9,1.0,20,42,5000,71.8,20,75.17,2937.1,cpu
